Jennifer Williams,a3649c68-d987-40fb-9720-ba48840f2a22,Big Data Analysis,7,1,2.2,6.3,,,,4.1
Diana Myers,bf8efd88-835f-43ba-8a90-6ff7bfe11c08,Bioinformatics,2.2,0.1,9.5,4.5,4,3.2,,3.9
Kimberly James,26a7d38c-15a5-42f8-9b22-879f4a959479,Big Data Analysis,3.8,8.2,7.6,4.2,,,,6
William Brown,8db76a4e-eff9-415d-bc1c-87c28dec6406,Bioinformatics,1.9,6.3,0.3,1.9,8.3,7.3,,4.3
Jackson Martinez,314b7f9c-d0b2-4b2b-b3cb-e3d77d172a8b,Big Data Analysis,2,5.9,7.3,9.4,,,,6.2
Michael White,cea42509-2289-433b-80c6-da11c9592e57,Machine Learning,1.4,2.1,8.6,,,,,4
Rebecca Gutierrez,1171f058-5f55-4b61-9ca4-51c905c3c9e0,Statistical Methods in Biomedical Research,7.6,3.5,6.2,4.7,,,,5.5
Joseph Sanchez,18f65897-ffa5-4f5d-8ccf-42c38ef1a295,Bioinformatics,4.4,1.6,7.6,4.7,3.8,1.9,,4
Hannah Hughes,5fce8937-8ab2-4cbb-baa2-4ce3b1b2c7c7,Statistical Methods in Biomedical Research,3.4,9.5,3,1.3,,,,4.3
Paul Harris,3dfb08c9-2fa2-48cd-b906-d4f734c4c6c1,Big Data Analysis,9,8.3,3.5,9.4,,,,7.6
Christopher Reed,b07884ef-f3ca-4ac2-aaf6-76ced0fd116a,Big Data Analysis,5.1,3.5,6.6,5.1,,,,5.1
Nathan Jimenez,6ac5b843-2a81-43cc-93c4-65134eaa8cc0,Machine Learning,0.1,7.3,3.3,,,,,3.6
Christopher Ruiz,2227e67b-95ec-42d3-8f65-8ebb03243ee3,Statistical Methods in Biomedical Research,6.9,7,5.2,0.3,,,,4.9
Zachary Ramirez,880e7ed0-4ded-4ddf-bc17-4451e71fa9fd,Statistical Methods in Biomedical Research,7.9,9.1,6.9,7.8,,,,7.9
Caleb Perez,0581cd8d-f5b6-4683-9e98-b19add9c99df,Statistical Methods in Biomedical Research,1,3.1,1.3,6.6,,,,3
Grace Smith,201a9a3f-a7a6-40f3-8159-15106151fe18,Statistical Methods in Biomedical Research,1.8,9.4,8.9,2.5,,,,5.7
Amber Gonzalez,9b332247-d6ea-4c26-9cca-5aa018aeb64b,Introduction to Data Science,1.8,2.5,2.1,5.4,4.8,,,3.3
William Thompson,4fb62d32-76a7-4363-b8bd-c18d56fa272f,Machine Learning,1.5,0.7,6.8,,,,,3
Megan Castillo,8d8d0115-1b51-436c-ae72-dbf2430b7db2,Bioinformatics,2,0.4,2.4,9.6,6.2,4,,4.1
Rebecca Baker,a246b01b-3715-45b0-8f2e-7dca36aae864,Introduction to Data Science,7.3,6.7,3.5,1.1,0.7,,,3.9
Rebecca Campbell,8a83afb7-ca66-4003-a00f-209b3a86b401,Bioinformatics,9,2.8,4.5,5.5,3.6,6.1,,5.3
Angela Kim,dddc46ce-6aa1-4d39-8cdc-8af64f687831,Statistical Methods in Biomedical Research,5.8,1.4,0.8,0.8,,,,2.2
Andrew Gray,9db6dd21-c90e-45cd-a31b-83669d05e4d2,Statistical Methods in Biomedical Research,4.1,1.2,3.7,7.7,,,,4.2
Samantha Williams,a477d300-5a17-4a3a-abb9-bdbf7e4d8b36,Big Data Analysis,3.8,9.7,3.6,4.8,,,,5.5
Henry Campbell,d8cdea59-d30f-4d99-820c-c3c8eaebaef1,Statistical Methods in Biomedical Research,8,7.2,2.3,2.6,,,,5
Carter Lopez,49dfafed-4866-444c-9552-406333da483a,Statistical Methods in Biomedical Research,4.3,8.5,3.7,1.4,,,,4.5
Madison Flores,aacbb04c-fea1-41d6-8da1-8de04719ef49,Introduction to Data Science,1.1,8.9,5.7,3.6,9.5,,,5.8
Katherine King,596059bc-897d-4a01-a01d-24f80d7fde59,Machine Learning,6.6,5.5,3,,,,,5
Lillian Nguyen,1fccbb8d-d498-4c1d-81e2-d0377deccbcd,Machine Learning,7.8,0.9,8.8,,,,,5.8
Sarah Cox,060fe69a-9e97-43c2-924f-e7fc511244ae,Introduction to Data Science,6,2.2,4.7,2.9,4.3,,,4
